,total_abordo,pasajeros_abordo,personal_abordo,total_fallecidos,pasajeros_fallecidos,personal_fallecido,anio
189,16,14,2,4,2,2,2003
190,3,2,1,3,2,1,2003
191,200,,,129,,,2003
192,75,62,13,75,62,13,2003
193,4,3,1,4,3,1,2003
194,2,0,2,2,0,2,2003
195,5,4,1,5,4,1,2003
196,10,9,1,8,7,1,2003
197,4,2,2,4,2,2,2003
198,4,3,1,4,3,1,2003
199,24,21,3,1,0,1,2003
200,7,0,7,7,0,7,2003
201,3,2,1,3,2,1,2003
202,4,3,1,4,3,1,2003
203,4,0,4,4,0,4,2003
204,4,2,2,4,2,2,2003
205,5,3,2,5,3,2,2003
206,117,106,11,117,106,11,2003
207,10,8,2,4,4,0,2003
208,10,9,1,2,2,0,2003
209,14,12,2,14,12,2,2003
210,5,4,1,5,4,1,2003
211,2,0,2,2,0,2,2003
212,16,14,2,1,0,1,2003
213,2,1,1,2,1,1,2003
214,20,19,1,20,19,1,2003
215,21,19,2,21,19,2,2003
216,2,0,2,2,0,2,2003
217,8,7,1,8,7,1,2003
218,6,0,6,6,0,6,2003
219,2,0,2,1,0,1,2003
220,7,6,1,7,6,1,2003
221,3,2,1,3,2,1,2003
222,4,3,1,4,3,1,2003
223,2,0,2,2,0,2,2003
224,2,0,2,1,0,1,2003
225,5,0,5,5,0,5,2003
226,3,0,3,3,0,3,2003
227,1,0,1,1,0,1,2003
228,36,34,2,15,15,0,2003
229,4,3,1,4,3,1,2003
230,7,4,3,2,1,1,2003
231,22,18,4,17,13,4,2003
232,1,0,1,1,0,1,2003
233,24,18,6,20,14,6,2003
234,3,2,1,2,1,1,2003
235,3,0,3,3,0,3,2003
236,2,0,2,2,0,2,2003
237,161,151,10,140,132,8,2003
238,148,135,13,148,135,13,2004
239,37,32,5,37,32,5,2004
240,9,7,2,9,7,2,2004
241,46,40,6,43,37,6,2004
242,7,0,7,3,0,3,2004
243,5,4,1,5,4,1,2004
244,5,4,1,4,3,1,2004
245,7,5,2,7,5,2,2004
246,7,5,2,3,1,2,2004
247,10,8,2,6,5,1,2004
248,7,0,7,7,0,7,2004
249,33,30,3,33,30,3,2004
250,7,0,7,7,0,7,2004
251,12,10,2,1,1,0,2004
252,2,0,2,2,0,2,2004
253,3,0,3,3,0,3,2004
254,30,26,4,19,18,1,2004
255,24,21,3,24,21,3,2004
256,2,0,2,1,0,1,2004
257,11,9,2,6,6,0,2004
258,3,0,3,2,0,2,2004
259,2,0,2,1,0,1,2004
260,25,22,3,25,22,3,2004
261,46,38,8,46,38,8,2004
262,41,34,7,41,34,7,2004
263,3,2,1,1,1,0,2004
264,2,0,2,2,0,2,2004
265,17,13,4,17,13,4,2004
266,1,0,1,1,0,1,2004
267,4,0,4,4,0,4,2004
268,7,0,7,7,0,7,2004
269,2,0,2,2,0,2,2004
270,3,0,3,3,0,3,2004
271,2,0,2,2,0,2,2004
272,15,13,2,13,11,2,2004
273,5,4,1,5,4,1,2004
274,10,8,2,10,8,2,2004
275,21,19,2,3,3,0,2004
276,53,47,6,53,47,6,2004
277,3,0,3,3,0,3,2004
278,6,3,3,6,3,3,2004
279,6,3,3,3,1,2,2004
280,163,156,7,25,23,2,2004
281,16,13,3,16,13,3,2004
282,7,0,7,1,0,1,2004
283,2,0,2,2,0,2,2004
284,9,7,2,9,7,2,2005
285,20,18,2,20,18,2,2005
286,1,0,1,1,0,1,2005
287,31,29,2,31,29,2,2005
288,2,0,2,2,0,2,2005
289,10,8,2,10,8,2,2005
290,104,96,8,104,96,8,2005
291,7,0,7,7,0,7,2005
292,8,6,2,8,6,2,2005
293,13,10,3,2,0,2,2005
294,18,14,4,15,11,4,2005
295,2,0,2,2,0,2,2005
296,2,1,1,2,1,1,2005
297,52,45,7,28,26,2,2005
298,8,0,8,8,0,8,2005
